Region,UF,Year,Grade,SAEB_General,Math_Mean,Language_Mean,N_Students
Nordeste,CE,2023,9EF,266.738640491453,267.86457799145296,265.612702991453,103862.0
Sul,PR,2023,9EF,264.7060125448029,265.4086678614098,264.0033572281959,119881.0
Centro-Oeste,GO,2023,9EF,264.20127135678393,263.95596984924623,264.44657286432164,68983.0
Sul,SC,2023,9EF,264.16541336851367,264.5467897977133,263.784036939314,53612.0
Sul,RS,2023,9EF,262.11693003331743,260.8185387910519,263.41532127558304,62975.0
Sudeste,ES,2023,9EF,261.4659469153515,261.01041606886656,261.9214777618364,38124.0
Sudeste,SP,2023,9EF,260.5544772630684,259.2013557161071,261.90759881002975,381043.0
Nordeste,AL,2023,9EF,251.47580614203457,254.16226487523994,248.78934740882917,35562.0
Sudeste,RJ,2023,9EF,251.17997846374732,248.8405455850682,253.5194113424264,98144.0
Sudeste,MG,2023,9EF,251.05945825659913,249.87307550644567,252.24584100675258,184212.0
Centro-Oeste,DF,2023,9EF,250.51713740458015,248.26564885496182,252.76862595419848,19007.0
Centro-Oeste,MS,2023,9EF,249.65469444444443,247.36452777777777,251.9448611111111,20957.0
Nordeste,PE,2023,9EF,248.4645037037037,248.08491111111113,248.84409629629633,93571.0
Norte,RO,2023,9EF,246.76514062499996,246.53571874999997,246.99456249999997,21852.0
Nordeste,PI,2023,9EF,246.7209418729817,246.96570505920346,246.47617868675997,35426.0
Norte,AC,2023,9EF,245.596897810219,243.12912408759126,248.06467153284672,9435.0
Centro-Oeste,MT,2023,9EF,243.4594555353902,241.90882032667878,245.01009074410163,39903.0
Norte,TO,2023,9EF,242.00538834951456,241.41070388349516,242.60007281553396,23014.0
Nordeste,PB,2023,9EF,240.70145203679368,238.85440210249672,242.54850197109067,37762.0
Nordeste,SE,2023,9EF,238.71642699115046,237.14174778761063,240.29110619469026,20754.0
Norte,AM,2023,9EF,238.51571958456972,236.96635014836795,240.0650890207715,50578.0
Nordeste,RN,2023,9EF,237.7580404040404,235.8261212121212,239.6899595959596,20688.0
Norte,PA,2023,9EF,234.83617294520548,233.48153538812787,236.19081050228309,98720.0
Nordeste,BA,2023,9EF,234.39721687800613,233.56980323567993,235.2246305203323,125745.0
Norte,AP,2023,9EF,232.46575630252102,228.67605042016808,236.25546218487395,7931.0
Nordeste,MA,2023,9EF,230.4304347826087,228.76839706652697,232.09247249869043,82910.0
Norte,RR,2023,9EF,220.98431034482758,220.2088505747126,221.7597701149425,4458.0
