Region,UF,Year,Grade,SAEB_General,Math_Mean,Language_Mean,N_Students
Sul,SC,2015,9EF,264.3371268368136,266.8220185614849,261.8522351121423,58454.0
Centro-Oeste,MS,2015,9EF,260.01543572984747,260.39599128540306,259.63488017429194,22173.0
Sul,RS,2015,9EF,255.94875,257.55253707627116,254.34496292372881,58562.0
Centro-Oeste,GO,2015,9EF,255.090196969697,255.8009696969697,254.37942424242425,57894.0
Sudeste,MG,2015,9EF,255.06113396331295,257.2824180100056,252.83984991662035,221850.0
Sudeste,ES,2015,9EF,253.81233118971062,256.4416237942122,251.183038585209,31662.0
Centro-Oeste,DF,2015,9EF,252.85892655367235,254.3620338983051,251.35581920903957,23952.0
Sudeste,SP,2015,9EF,252.76131671899526,254.67924646781788,250.84338697017267,429382.0
Nordeste,CE,2015,9EF,252.12802150537635,252.96408602150538,251.29195698924732,80223.0
Sul,PR,2015,9EF,251.00387474882785,253.49346282652377,248.51428667113197,98179.0
Norte,RO,2015,9EF,250.21210069444442,251.75524305555552,248.66895833333334,14618.0
Sudeste,RJ,2015,9EF,246.9734285714286,249.14027988338194,244.80657725947523,115466.0
Norte,AC,2015,9EF,242.26925373134327,242.5221641791045,242.01634328358207,8048.0
Norte,TO,2015,9EF,239.85545731707316,241.88966463414633,237.82125,16404.0
Centro-Oeste,MT,2015,9EF,239.5697453310696,241.98514431239389,237.15434634974534,31152.0
Norte,AM,2015,9EF,239.52945614035087,239.08675438596492,239.97215789473685,46258.0
Nordeste,PE,2015,9EF,239.26899071925754,241.7331090487239,236.8048723897912,84684.0
Nordeste,RN,2015,9EF,237.28529109589041,239.33085616438356,235.23972602739727,22329.0
Nordeste,PI,2015,9EF,237.27719758064518,238.9372446236559,235.61715053763442,28534.0
Nordeste,SE,2015,9EF,236.58815594059405,239.15987623762376,234.01643564356436,16495.0
Nordeste,BA,2015,9EF,233.3801268591426,235.57238407699037,231.18786964129484,127032.0
Nordeste,PB,2015,9EF,233.2384388807069,235.2803092783505,231.19656848306332,30174.0
Norte,RR,2015,9EF,232.75703703703704,233.88432098765432,231.62975308641973,5304.0
Norte,PA,2015,9EF,230.99459349593496,232.11368070953438,229.87550628233555,75819.0
Nordeste,AL,2015,9EF,230.44327835051547,233.3702886597938,227.5162680412371,28581.0
Norte,AP,2015,9EF,227.46417355371904,228.96314049586778,225.96520661157027,8134.0
Nordeste,MA,2015,9EF,225.21029745989307,226.1525334224599,224.26806149732622,72509.0
