UF,Natural_Sciences,Humanities,Language,Math,Essay,Mean_General,Sample_Size,English_Score,Region,Year,Grade
MG,507.1012013914933,539.5441657051401,527.1656852892644,567.9018686875218,655.9819357079937,558.0081576688129,80760,536.1093032414939,Southeast,2022,STRICT_3EM
SP,502.46928852178866,539.1601620720911,535.3211556727946,564.3569370549701,632.0112462616493,553.4912379869309,184660,544.2362814382952,Southeast,2022,STRICT_3EM
SC,506.9693045482275,537.828375191229,529.2979857215706,561.2083677896021,631.7318969913309,551.9272465751972,31413,538.3349245470662,South,2022,STRICT_3EM
RJ,501.1499620153372,537.3473506770036,528.3613193382835,553.6644234214864,639.89571958943,550.4331008649459,73415,539.7361888778702,Southeast,2022,STRICT_3EM
DF,503.8663599500936,535.413161951171,532.057242305206,548.3443023497608,629.9766297051365,548.4114172329977,20159,551.447829137795,Center-West,2022,STRICT_3EM
RS,500.072354972698,532.8383147993495,527.4260999516505,553.8343421850935,633.7207155729418,547.9734426769062,45575,550.0463728841825,South,2022,STRICT_3EM
ES,499.10889683298933,531.5483421845845,517.3075068178556,551.2721313126227,642.2247739342615,546.7407079336292,20953,532.802936,Southeast,2022,STRICT_3EM
PR,500.8677342606149,529.6805558212038,520.2889428686188,549.6844354969904,606.1641451332173,539.7810360824743,52380,531.2058748966657,South,2022,STRICT_3EM
RN,491.8738364211477,516.9941256038647,508.35384057971015,530.4685846261988,630.5642512077295,534.3603045644487,20740,534.5655527265012,Northeast,2022,STRICT_3EM
MS,488.0529380260138,513.7020419943718,505.34874089039613,528.8400918133129,600.6277509199798,525.2421747763265,13934,519.1484613656784,Center-West,2022,STRICT_3EM
PB,483.5602833312377,508.83878219383007,496.97510209032464,517.6409908210738,621.5121497594307,524.2409562797451,24794,519.1239203213928,Northeast,2022,STRICT_3EM
PE,486.0087466112233,508.1418039322456,499.86768440909356,528.3618642858598,598.4687190058536,522.3268145761352,51518,512.9180094459957,Northeast,2022,STRICT_3EM
GO,485.08085715605233,511.5368706479533,500.9629623202239,524.7990855770563,599.7579123191392,522.2787675759736,46299,522.2933592162882,Center-West,2022,STRICT_3EM
SE,480.8075570679144,506.75070595457333,492.71957574517427,512.2320218346803,620.0518382102176,520.949133242692,14710,518.4691241874787,Northeast,2022,STRICT_3EM
PI,478.80224140542174,501.7963113549525,487.0055452140687,517.2440456358221,617.7632996962868,519.3140661938535,20445,517.0746966558153,Northeast,2022,STRICT_3EM
BA,480.94690323748705,508.30526373695466,497.0883267320508,513.0359003900785,604.0569596378725,519.2418949814612,63830,507.3163573085847,Northeast,2022,STRICT_3EM
MT,483.229541015625,508.1043968626553,497.41786797961873,521.1948364257812,589.1257800423656,517.4165322534649,17533,517.4875638841567,Center-West,2022,STRICT_3EM
AL,481.3538859433596,504.00229920483264,492.77665659865625,518.0961075908444,596.435924304999,516.8740184923222,16259,501.4859599477579,Northeast,2022,STRICT_3EM
RR,485.5485919381557,508.58833079654994,501.9107559614409,515.5296521258973,564.3937087772704,512.0711536523929,1985,535.8543362831858,North,2022,STRICT_3EM
RO,475.9497424490752,501.04167574635,488.99506428415776,508.60458908920634,583.0878186968838,509.3711547787067,9211,514.4156726308814,North,2022,STRICT_3EM
TO,474.49405541561714,496.0850184151123,484.0936913389569,508.24609571788415,585.8049186170845,508.16047692368426,8443,496.0002326122354,North,2022,STRICT_3EM
AC,472.5798314014752,497.5106429277942,487.12134520276953,502.3368809272919,589.0009891196835,507.65987705456934,5070,518.7892459016393,North,2022,STRICT_3EM
PA,472.7659952267303,498.648884303143,481.1622998775455,496.0299355608592,594.7625742664067,507.26092634484013,44206,493.42620683501383,North,2022,STRICT_3EM
MA,470.3519508555827,487.60087122243397,473.80403242883506,494.90479380297785,578.6623105544968,499.4464912174927,33172,485.5564741099293,Northeast,2022,STRICT_3EM
CE,474.2459636209919,492.44530564839175,480.4931427623314,507.4920453556465,544.837279859679,497.53836236236236,84915,509.74791478847374,Northeast,2022,STRICT_3EM
AP,467.947871657754,493.52274361022364,480.0237420127795,485.9221176470588,563.1948881789137,496.27377857522595,5016,503.13617133791644,North,2022,STRICT_3EM
AM,468.55821972335553,487.53241884064477,477.96597368775537,488.1579211861877,518.8253782946433,485.1250579477579,22434,493.5054077120025,North,2022,STRICT_3EM
