Year,Region,UF,Grade,Mean_General,Mean_General_std,Public_Share,Network_Data_Coverage,Natural_Sciences,Humanities,Language,Math,Essay
2022,Southeast,MG,3EM,562.7966562840583,83.47323405008342,0.8309266004690384,1.2983454048381036,507.1471107087429,540.1875572945779,527.4208857774137,567.9606280474397,685.0671814871921
2022,Southeast,SP,3EM,557.5520652992249,75.08104696689871,0.7566511095011036,1.334397535846575,502.532266077207,540.1099915721936,535.568243969721,564.4501814597684,654.490840926081
2022,South,SC,3EM,556.5841069116304,73.86705557325887,0.8306083697072821,1.343282098847224,507.0036706887202,538.5320919100049,529.5342643964033,561.2654340236586,656.5926858354313
2022,Southeast,RJ,3EM,555.9928640589306,82.32457777138974,0.7300370003872133,1.3339455069802144,501.18588159403674,538.1479912514524,528.6427272106522,553.7358578473536,672.6447336327245
2022,Center-West,DF,3EM,553.8965534494452,80.31053306321039,0.7480447156136112,1.2739840367259638,503.94495398533775,536.6138791986444,532.3749042240908,548.4298341392398,660.9348427148
2022,South,RS,3EM,552.9979073383086,75.88798413653015,0.8501146367502669,1.3103914868243012,500.13070783448853,533.4244697703072,527.6696290758778,553.8989684706761,661.3205513382106
2022,Southeast,ES,3EM,552.3118239684283,80.40080642206549,0.8747504223621564,1.3105877616747181,499.15916209275383,532.2358867490658,517.6294618919953,551.3554134353914,675.4800724637681
2022,South,PR,3EM,544.6266232517872,75.04629226703477,0.8284391284783208,1.3746308564131215,500.9594179022515,530.2586546930647,520.5976192298859,549.8186030428769,632.3744911804613
2022,Northeast,RN,3EM,540.479153927762,82.05980153957519,0.8280107264748903,1.260666905700968,491.92323374340947,517.7945809947745,508.6732972398124,530.4952199236795,668.5796240331916
2022,Center-West,MS,3EM,531.8910812459628,78.61615374571859,0.8812015398796291,1.4154259401381428,488.0529380260138,514.4072687861271,505.67712635379064,528.921028466483,638.8411358403683
2022,Northeast,PB,3EM,531.5521473040204,81.43032548885442,0.8390935201843259,1.378480682213714,483.6210932260228,509.58049965582865,497.21634238097164,517.7277887235381,668.8069961712496
2022,Northeast,PE,3EM,531.1376569912306,79.63194351324806,0.8643485597203808,1.4080013576004413,486.0681935865289,509.1120881476141,500.1108296365476,528.4588114169215,652.7907174069832
2022,Center-West,GO,3EM,529.3634048215855,81.40310668209915,0.8954258675078864,1.6183227363438066,485.1256662509815,512.4706769531674,501.3544840761566,524.8354432718287,641.5798022926625
2022,Northeast,SE,3EM,528.5262179007728,83.63940090907168,0.8280180975502097,1.3335295416084174,480.84164480680613,507.68567035670355,493.2578832365995,512.2683374689826,668.8676329924215
2022,Northeast,PI,3EM,526.3370760348371,86.31825398778251,0.8542474160206718,1.3048838311996207,478.80224140542174,502.6087974093519,487.3158766727121,517.2440456358221,664.4022970338759
2022,Center-West,MT,3EM,525.9899389617799,78.22795608657584,0.8812290214304157,1.4420105491777846,483.40656978874097,508.94939213212524,497.6742983159583,521.38577359873,638.5516599441514
2022,Northeast,BA,3EM,525.8496381319502,78.39469832212835,0.8448102366606621,1.349455155071249,480.97065213813084,509.2818194702529,497.4010395697031,513.0781241769818,644.3004191114836
2022,Northeast,AL,3EM,525.2184731877371,79.70164393167956,0.8280972417017298,1.433742207922783,481.4161407139162,505.15441121957247,493.0805958181706,518.2301384038287,648.5675983645017
2022,North,RR,3EM,522.2979311502938,73.22733306632507,0.9195637355146558,1.640022358859698,485.5485919381557,509.8817904374364,502.16553299492386,515.5296521258973,621.8110676355506
2022,North,RO,3EM,517.7718473066898,73.47890264916961,0.9528878822197056,1.5628318584070797,475.9497424490752,502.1907284044993,489.31494766681203,508.6641376887953,631.4548672566372
2022,North,PA,3EM,515.2179688372023,76.89561365049134,0.8821792568613152,1.3802322441263841,472.7998472444328,499.68001681550663,481.4680077149988,496.08913474161596,643.8965948984852
2022,North,AC,3EM,514.8927696610727,73.73566312935694,0.9419568822553898,1.400844772967265,472.7791060510225,499.18942040492266,487.8934812760055,502.5487033523087,628.8067581837381
2022,North,TO,3EM,514.7599429372508,76.79396205008153,0.9305840163934426,1.484787018255578,474.5538228996095,496.9115315958586,484.32385593724,508.31011462400807,625.0912778904666
2022,Northeast,CE,3EM,510.05838084356174,84.57445599327644,0.9301116284779768,1.5541942078364566,474.3108318826163,493.3164349570813,480.8464633047108,507.60564460970244,626.5387393526405
2022,Northeast,MA,3EM,507.90780709159986,76.54782286299276,0.9214414243773085,1.3936974096683716,470.3668836116579,488.75411625579915,474.24877066553626,494.92050606387704,631.2106913050652
2022,North,AP,3EM,505.5069803296119,72.33747191862189,0.911925175370226,1.4049496276828735,467.947871657754,494.6091454872924,480.11961254244056,486.02608044501494,617.7135348226018
2022,North,AM,3EM,497.49276660572826,72.20748327562211,0.9544258722861471,1.9103000152291993,468.6048517117834,489.0035353990272,478.2881110711718,488.23079870614583,586.5658155236306
