Year,Region,UF,Grade,Mean_General,Mean_General_std,Public_Share,Network_Data_Coverage,Natural_Sciences,Humanities,Language,Math,Essay
2024,Southeast,SP,ALL,564.6158503115962,81.70836156767426,0.7354297459024717,0.599414854878553,515.7301077503552,537.6336372915539,547.9646213842658,559.9128437143108,669.0857002537448
2024,South,SC,ALL,563.3088923942181,79.03768079024496,0.7766589444227814,0.6420860395587564,517.1275258467564,536.1880668291577,545.3396650575461,552.9905411150249,674.8647255482408
2024,Center-West,DF,ALL,563.2654836354933,89.03178774882416,0.7153170649328717,0.4429773704881242,517.2161163012393,537.5980129097583,546.9148478233416,551.395448304794,672.9036843089583
2024,Southeast,MG,ALL,561.5402244833741,86.33913914089382,0.8268218859138533,0.45326944995567564,509.0387462991833,531.2111850751874,538.3564115857401,552.0782862108052,686.0193901529542
2024,Southeast,ES,ALL,557.8597549302549,83.41668669527407,0.866974032137772,0.5616313164007464,508.6181139104386,527.3040629309719,535.8142406726222,546.3414471157539,684.0878108221317
2024,Southeast,RJ,ALL,555.3569014509808,85.65868035698692,0.7045037327132542,0.4810762543053116,505.8316643759085,529.1892694771647,538.8234245727257,543.2167516279437,671.5835696552807
2024,South,PR,ALL,550.7365982885773,81.22435476818711,0.8168714967099537,0.6608812363385359,510.7299862817137,526.2517138422003,539.1538904471455,541.2795129143145,645.1323388426583
2024,South,RS,ALL,547.9256819317729,81.60339212598458,0.812277463703876,0.4637818892595963,503.1799447649012,526.3901423043715,539.4426062858383,536.6191886279254,646.2886799447309
2024,Center-West,GO,ALL,543.9333366327044,85.52203399268839,0.8714090711670907,0.6139575635213896,494.67298431353504,510.2702222547156,522.7270578572733,527.5633295772459,676.4132794941145
2024,Northeast,RN,ALL,539.9083988295371,84.76388576463413,0.8447552940347416,0.3785294156874775,493.06562962180436,511.09194880788976,523.0878442171518,521.2820138659623,662.7824532856743
2024,Center-West,MS,ALL,535.9721232042189,83.47928562033482,0.8422444640356791,0.5581025151225725,495.87881350954484,510.7163236103467,523.5798659009096,523.9473290064902,638.3230586668982
2024,Northeast,CE,ALL,534.8721053400263,88.84708226364694,0.9231867024848892,0.592636815920398,483.20240485616256,500.4281033647101,514.4142510661932,525.5457428052617,671.5910447761194
2024,Northeast,PB,ALL,534.4351173135437,85.27067800257237,0.8602464155263588,0.4018798063229849,484.31714736079755,502.5014760602759,515.5797718779517,514.1930325686412,671.2076331529479
2024,Northeast,PE,ALL,533.0123326811255,83.36560350067947,0.8761359937911524,0.47563930814801586,483.2530650387687,500.6723358097573,516.8482926532014,520.7449201729057,660.4433330356345
2024,Center-West,MT,ALL,531.1896330323951,82.71679178294187,0.8608183985847242,0.5947800626758469,490.20496678848053,503.94304632923325,518.0034036453877,514.6840941479336,644.4074387538029
2024,Northeast,SE,ALL,530.9034784854542,86.29542710244482,0.8425818882466282,0.40783450877158517,481.7370173994602,496.63496348749726,510.7917944940613,508.48682029590213,673.4518594188947
2024,Northeast,PI,ALL,522.8577484548455,87.13703574377672,0.8848643228296211,0.4180088405649832,472.9000498498274,485.72798013045417,503.80440060698027,505.88597472834215,658.1503404125597
2024,North,RR,ALL,521.8785784367766,79.74621216133515,0.9194406145361433,0.6174145688921319,490.5864451667269,500.4618072557311,513.6354182868571,503.0713115741298,621.6587620089991
2024,North,RO,ALL,520.9466906168697,76.730890603934,0.9214002642007926,0.5955705912434601,481.0645481163381,491.01009366391185,507.1434954875633,499.21208276400546,641.9999213248889
2024,Northeast,BA,ALL,520.5470802072006,82.20187637981918,0.8900996687790197,0.5191076426645103,476.3594377898739,493.21884777393285,509.01093820718785,499.4710848784491,639.0814199520297
2024,Northeast,AL,ALL,519.7723531496501,85.36570904722106,0.8720970428333491,0.5297672560183798,475.31888643845684,487.5344158028315,504.321602478973,505.63483729702085,645.9880797789099
2024,North,TO,ALL,518.3181188808405,82.8737029928388,0.9219915786363301,0.58106193930549,475.5740305067218,485.64410032453225,504.54078857919785,501.1509242900849,640.6996609005452
2024,North,AC,ALL,515.1102980405071,78.4458570394491,0.9347316615889384,0.4959609461265764,475.9852817692626,490.79211675603955,507.44604776876827,490.221744529864,622.0026733306213
2024,North,AP,ALL,511.2560829361591,76.45925383645506,0.8993988467672678,0.4091867469879518,472.75439593301434,488.29088962338807,503.4622764227642,479.87797497382724,626.5170682730924
2024,Northeast,MA,ALL,509.5400422077841,80.38475580323573,0.9259312091007971,0.45504925109131333,466.38165665527396,477.68632467727406,495.26622742911115,488.04537460234764,637.4587410544764
2024,North,PA,ALL,509.1434073787632,79.84732339624225,0.8837447118482615,0.4148925659221546,469.2745382209234,481.5774281576587,496.3303841506829,484.5870950616791,628.81279096124
2024,North,AM,ALL,502.0294051203121,77.98531717497728,0.9481210357605656,0.8249779628275099,470.7723880179693,481.9032585754243,499.4869324890904,482.6881543624161,593.2249291997224
