UF,Natural_Sciences,Humanities,Language,Math,Essay,Mean_General,Sample_Size,English_Score,Region,Year,Grade
DF,492.5784362617844,566.240900396229,521.6833114368691,487.2160420412115,496.0612332242976,469.82609126195786,32719,545.4049678835678,Center-West,2015,STRICT_3EM
SE,472.3842772439174,548.9744769304164,489.7681911825299,464.2736780661997,510.59890317700456,467.397645427617,15867,516.3682959342369,Northeast,2015,STRICT_3EM
PR,491.03886123605804,569.038919048492,517.4475963942342,487.7627137530537,486.5098548568114,466.25427550758803,79313,533.8797773195876,South,2015,STRICT_3EM
ES,480.50935715916876,554.0600793560174,498.7962429159115,479.8963148355916,471.12996088657104,462.4479175356274,38360,516.4970851873347,Southeast,2015,STRICT_3EM
RJ,486.0680403736529,567.5763766270394,519.2827982742074,491.7347726467054,491.42228342851996,461.0168640574664,133272,534.869749446715,Southeast,2015,STRICT_3EM
PB,466.2124912305318,547.018808755437,489.69530189479633,457.29982324660637,498.40226986128624,460.9370035346351,30932,513.62857951971,Northeast,2015,STRICT_3EM
RS,480.91069320836766,563.4196901967669,515.7262103253629,481.4699331145019,480.9718189272622,460.1170306157716,82942,543.5003791161179,South,2015,STRICT_3EM
MG,489.88483452392046,564.3289237427186,511.53221781919524,494.77634413284557,481.06658477591907,460.10501641703496,157966,525.5071056358362,Southeast,2015,STRICT_3EM
RN,472.1100308906813,546.7342672043934,491.9009527521545,462.1953531679009,490.5197633877855,458.21439762417594,25535,521.6482843810046,Northeast,2015,STRICT_3EM
SC,486.40866471065607,562.8799862663087,511.8544869766951,484.7550057998524,471.8882560986669,450.6466554834186,55142,521.2181626257628,South,2015,STRICT_3EM
PI,463.4273371531966,539.3802585946924,481.87028658189405,451.9092844942114,473.86617778695864,448.2745211215897,29054,512.1419934920364,Northeast,2015,STRICT_3EM
PE,467.033954812364,545.5203985215655,491.16040516761666,462.3844324795837,470.0360668896321,446.97364420607744,74768,506.6083955418215,Northeast,2015,STRICT_3EM
GO,477.8924977198192,551.1674351361316,500.2455614321386,468.99415662295274,465.1950520389012,444.13905362219947,58620,528.4686772284788,Center-West,2015,STRICT_3EM
MS,477.25413387787626,549.0203207490786,495.681047796901,465.06367536465956,462.48703842260466,443.88029218921895,22725,510.7681551895656,Center-West,2015,STRICT_3EM
SP,487.979952353757,563.4596276413478,520.0039136418372,487.98662976882053,459.6893828507188,443.4289073542341,359412,531.00273849053,Southeast,2015,STRICT_3EM
AL,458.6109063367836,535.7076899772785,479.3900620486217,445.5699267622826,477.06161786872514,442.61592024353115,21900,497.93824097459515,Northeast,2015,STRICT_3EM
BA,465.86608140462886,546.8449271747805,489.21452029590046,453.034019735101,464.5503370562646,439.9921501235661,90370,501.4275710035164,Northeast,2015,STRICT_3EM
PA,461.27917604595206,540.2091438329581,483.201874987742,443.7083217290682,465.419273941092,436.7508140680926,57833,497.3173716192065,North,2015,STRICT_3EM
MA,450.264691948741,530.4269867588887,473.6057425647891,437.6112364923018,448.4606265876376,427.80729552828325,47260,483.23615505787274,Northeast,2015,STRICT_3EM
AP,453.4905896366885,530.3763073257891,477.29443503508344,430.55171788047426,456.22078746824724,427.51470575783236,9448,500.3312238493724,North,2015,STRICT_3EM
MT,467.8263864149151,540.0080948422594,483.9997024647179,447.6718507498693,440.1532219242143,425.4720239527821,29085,507.86974654686867,Center-West,2015,STRICT_3EM
RO,466.33293554430026,541.4254145563033,483.291775198188,446.5742921857304,429.16634580676214,421.27909409830806,16628,502.7660450876704,North,2015,STRICT_3EM
AC,450.16117690599555,530.09955588453,473.5006926952141,431.1538413098237,439.8447787224766,420.07858953408146,9179,507.83590651558075,North,2015,STRICT_3EM
TO,455.8963599677159,533.2664487489911,474.1588954537994,444.39276218611525,425.9059319059319,416.789741070802,14251,483.30462625341846,North,2015,STRICT_3EM
AM,449.18847554806075,527.4988060708263,475.240013724481,430.0935289071882,437.8489831493318,411.9261291384636,34423,487.23869245647967,North,2015,STRICT_3EM
CE,457.3436434331207,532.9288743664978,477.58689535515697,453.05319933943724,418.30876666327464,400.8414757096062,117941,512.8578711217184,Northeast,2015,STRICT_3EM
RR,462.53161125319696,536.286010230179,483.06798654244307,438.6751293995859,408.14845191716216,390.9510403005464,4880,527.3018581081081,North,2015,STRICT_3EM
