Year,Region,UF,Grade,Mean_General,Mean_General_std,Public_Share,Network_Data_Coverage,Natural_Sciences,Humanities,Language,Math,Essay
2024,South,SC,3EM_PROXY,559.5673140399814,77.85252467712614,0.7766589444227814,1.316732105104198,512.7662334045121,530.7799066919375,541.1503422363323,547.8440293425776,675.5457565690124
2024,Center-West,DF,3EM_PROXY,557.1678747326758,86.22515107392731,0.7153170649328717,1.1803458414312054,508.18176963768843,526.0942025499158,539.2808179723502,541.031206948188,682.3660736532615
2024,Southeast,MG,3EM_PROXY,556.0875043753686,87.24265431354233,0.8268218859138533,1.259875625782228,500.72572398011516,521.209747791747,530.7439159945852,545.7511576060687,691.1021589486859
2024,Southeast,SP,3EM_PROXY,554.6062082633898,80.73671121495639,0.7354297459024717,1.293462015742611,504.89243082342256,526.5173341594017,539.9723585285109,548.204305588045,661.4435557648934
2024,Southeast,ES,3EM_PROXY,552.8284018301928,83.78882202742905,0.866974032137772,1.2714107150553855,500.99021882864815,517.6200383235487,528.6250732779678,540.9901702291053,692.7089349597001
2024,South,RS,3EM_PROXY,551.6098654005058,80.31410173314272,0.812277463703876,1.349434213880881,501.0168841502228,521.6884420323757,536.5158023583937,539.7395583407938,672.5037751760115
2024,Southeast,RJ,3EM_PROXY,549.0601651871643,87.88481182120272,0.7045037327132542,1.2814742207410312,497.926162596186,518.1009765987168,530.4227901234568,538.0601703858132,677.389792851075
2024,South,PR,3EM_PROXY,541.4711522869652,78.24337294610662,0.8168714967099537,1.2992913148371532,500.53592382358823,514.450832993534,531.3449234664183,530.6087057520423,640.4538600723763
2024,Northeast,RN,3EM_PROXY,538.016202578124,84.76644993537575,0.8447552940347416,1.1886334129078193,488.0565972923823,502.80425128407745,516.8951364783843,518.9134785595926,679.3885328977677
2024,Center-West,GO,3EM_PROXY,533.562694199042,84.7639780261722,0.8714090711670907,1.4511975508734019,485.1132409771972,497.8858543897216,512.7734723113107,518.926413687113,669.6101206555015
2024,Center-West,MS,3EM_PROXY,532.3054975995848,82.6974707059614,0.8422444640356791,1.3241090434663187,490.52846032073785,503.55750930095945,517.336097529174,520.5861940812113,643.7451074641214
2024,Northeast,PB,3EM_PROXY,527.2182721650415,84.96953732072001,0.8602464155263588,1.359949584816133,474.82929106427457,490.3697623014928,505.5917009066522,506.34687478224515,682.5066725978647
2024,Center-West,MT,3EM_PROXY,524.8262755075947,81.60890677735829,0.8608183985847242,1.4384023897770648,483.2784850970741,492.4026598754952,509.1097375584202,506.89542172628813,651.7065884826022
2024,Northeast,PE,3EM_PROXY,524.702112728182,83.39419489122596,0.8761359937911524,1.3175985485733135,473.97812732919255,488.7074683792381,507.22285980942627,512.3954656272808,663.9086260926933
2024,Northeast,SE,3EM_PROXY,523.1793882302741,86.51083937882815,0.8425818882466282,1.2596323038650568,472.4431199495673,483.9861407726281,499.92698855707505,500.8582039085335,681.4756386141618
2024,Northeast,PI,3EM_PROXY,520.9788778738166,85.56293519715383,0.8848643228296211,1.2337944738124695,468.5923996244945,478.7441672858508,498.8394880135776,503.6447950893663,670.3160499381397
2024,North,RO,3EM_PROXY,517.469383413637,77.2033837777492,0.9214002642007926,1.4412184673964779,476.1879762677297,480.7598168691671,498.6811274294257,496.1465838509317,656.1485007139457
2024,Northeast,CE,3EM_PROXY,516.6280368345366,88.03685966862345,0.9231867024848892,1.34093808630394,469.3394379423284,480.8773858179788,498.20574420394104,507.0696062487116,656.7659787367104
2024,North,RR,3EM_PROXY,509.8422733862028,73.65993885490717,0.9194406145361433,1.4485021398002853,477.27819905213266,485.2410884704668,501.6949279093718,489.30792410714287,618.0884450784594
2024,Northeast,BA,3EM_PROXY,508.9176788181186,82.8619223299853,0.8900996687790197,1.4896363718289551,467.7674435028249,478.63373264333654,496.59836875876255,490.944077644969,633.3208669400261
2024,North,AC,3EM_PROXY,507.3831847359111,77.29801395096094,0.9347316615889384,1.3762296403805838,466.87943684633956,478.12363885923435,496.6619069343066,484.41000804505234,625.1765844218675
2024,North,AP,3EM_PROXY,507.3001086904246,75.99711623548636,0.8993988467672678,1.2987571701720841,466.0789738124239,475.16964026689874,493.81679212507237,474.59180627474865,648.9101338432123
2024,North,TO,3EM_PROXY,505.3851688050804,80.10289601099508,0.9219915786363301,1.4417935882415593,466.0808296668761,470.26922550361826,492.42457784285017,490.53681508643274,628.3800191713708
2024,North,PA,3EM_PROXY,504.8046685857195,79.73212476292811,0.8837447118482615,1.3093543653705062,464.09517440428004,471.3662154635521,487.8107149473684,480.7648966876694,639.7204695524578
2024,Northeast,MA,3EM_PROXY,501.93823899302294,78.79976805664619,0.9259312091007971,1.3573831594743084,459.4866900215231,466.26397986547676,485.3756174126841,480.5897041311716,641.0508991456302
2024,Northeast,AL,3EM_PROXY,501.8810618954524,82.41501493213644,0.8720970428333491,1.3992788355833077,462.2737408643152,466.00747695985814,486.8403743212539,489.89034244398533,633.9422188997845
2024,North,AM,3EM_PROXY,489.75668999218595,74.68355301953238,0.9481210357605656,1.754007496610575,460.95864413289803,466.3224209517726,486.6747815937467,472.33672928431486,586.7557221469017
