UF,Natural_Sciences,Humanities,Language,Math,Essay,Mean_General,Sample_Size,English_Score,Region,Year,Grade
RJ,503.51978661598434,578.5236837785711,537.9935912429726,551.7501193265877,543.4102753498297,541.588876734404,97632,551.2651073821096,Southeast,2018,STRICT_3EM
DF,506.74500159438776,576.7106150376515,542.72202132946,547.7336057079082,537.8716409923168,541.1236546537375,26194,564.4067044696465,Center-West,2018,STRICT_3EM
SC,506.33467318486333,581.3047434679913,537.080071590328,551.3852280075529,524.6353519857794,538.8053911386761,41115,544.611291458348,South,2018,STRICT_3EM
MG,504.91106795672016,572.6089138844168,530.2034290335035,552.5735818822776,536.6253123429179,537.905860109067,137469,538.9261430949928,Southeast,2018,STRICT_3EM
SP,503.4198381159128,576.5011576918936,539.8264071080351,552.7403543735197,520.5853064467622,537.1717461423126,269894,549.0718665506906,Southeast,2018,STRICT_3EM
PR,501.04467314973897,574.5154787965974,531.8060639229421,541.4843205284316,501.8266825118839,528.6830611352348,64022,543.9878114743337,South,2018,STRICT_3EM
ES,496.54193003449006,567.7108522193912,522.345105270216,542.9739670584923,516.2082606946493,527.6532127963247,29894,539.5474005710113,Southeast,2018,STRICT_3EM
RS,492.02421488804885,570.9954968383017,529.2910185185185,533.9557381021615,506.9141824751581,525.1632341180361,44348,555.000649873476,South,2018,STRICT_3EM
RN,487.35097518129817,556.472655235126,516.147375941803,532.1956128102338,513.4987442625791,519.7902293188137,23141,544.5468199323142,Northeast,2018,STRICT_3EM
MS,493.3941381023348,558.7270208394482,519.0729087173466,525.7958519622455,500.94980921631935,518.1581397528261,17073,531.027252770228,Center-West,2018,STRICT_3EM
SE,484.2741702741703,552.2243390734902,508.8732415716711,519.276497898237,526.1557118602959,517.0724011863689,16521,535.4593121112331,Northeast,2018,STRICT_3EM
GO,489.0639474275903,553.4112619869582,514.7909627924818,526.7997220121415,502.15803605677024,515.4079371644868,52221,536.6393788441011,Center-West,2018,STRICT_3EM
PB,481.5229759930791,550.8982431066337,507.19993725380834,523.3975344243386,510.1453620106669,513.38993781614,28732,527.4789375582479,Northeast,2018,STRICT_3EM
BA,480.8298082428838,549.9937857090758,507.98938027278695,516.8665958340225,501.5560039872602,510.2596932574866,82447,517.0067040598291,Northeast,2018,STRICT_3EM
MT,482.3711737180737,549.0458603411024,508.4578954626948,517.8162068629363,478.642026387165,505.40364557116493,21853,530.18153390812,Center-West,2018,STRICT_3EM
PE,478.82949471034254,545.345066103798,505.35165223840147,523.2283183984176,480.31889556027784,504.7708483692868,70276,518.9885549066759,Northeast,2018,STRICT_3EM
AL,474.68309622067767,540.514678707522,500.8122461763324,515.6120493049522,487.79975987889543,502.5904063558218,19195,513.9089653584992,Northeast,2018,STRICT_3EM
PI,474.627265155356,538.9146863000669,497.25674076161624,511.92472658796265,491.34674322753375,501.89813214650104,28423,528.9141329479769,Northeast,2018,STRICT_3EM
PA,473.5120726824761,541.9290644836797,497.5059419334698,506.1431384626533,492.1398591695862,501.0559394128201,57779,509.117206557377,North,2018,STRICT_3EM
RR,481.6730545080562,544.392403051494,508.816465352829,514.8179636612958,454.0750158931977,498.6500897476507,3157,556.4192429022082,North,2018,STRICT_3EM
CE,472.1221828245265,539.6400722171495,499.2054795799784,515.5663495632622,473.0976591682577,498.19516775989484,97113,532.1490845588235,Northeast,2018,STRICT_3EM
RO,476.08820146392475,541.7506753458096,502.90943043124497,510.9883670268386,467.65337672904803,498.10873319810685,12325,525.400632183908,North,2018,STRICT_3EM
TO,473.7789363636363,534.0754388984509,493.29268502581755,505.69826363636366,477.1807228915663,495.4416222947441,11644,500.08158344408577,North,2018,STRICT_3EM
AP,466.67850301039954,535.6407125338841,495.2668387763005,499.57880405035576,466.0333032141474,491.1208200514139,7780,514.9020408163265,North,2018,STRICT_3EM
AC,465.17295819935697,532.8423952641166,497.04219793564056,497.982540192926,467.7018822100789,490.83655299585735,6598,532.0088986141502,North,2018,STRICT_3EM
MA,466.2327032637018,531.2615628769123,490.51848536786645,496.3662743452723,459.95979601768977,487.8122836251143,47410,498.5135818546856,Northeast,2018,STRICT_3EM
AM,467.0086075485526,529.9685328848002,494.4766236441027,500.47813484792965,447.7214060140052,486.16892834784585,29285,505.2366808044876,North,2018,STRICT_3EM
