Region,Student_Count,Math_Mean,Read_Mean,Science_Mean,Cognitive_Global_Mean
Center-West,813,405.63,435.52,428.4,423.18
Southeast,1523,403.69,436.79,424.22,421.57
South,4060,389.91,424.72,414.51,409.71
North,982,371.78,397.93,391.65,387.12
Northeast,3313,366.93,395.64,387.62,383.4
